search_term,genome_id,success,count,error,accession,patric_id,product,start,end,strand,feature_type,gene,locus_tag,protein_id,function,subsystem
sodA,Unknown,TRUE,1,,CP002901,fig|1051632.5.peg.2728,Superoxide dismutase,2599212,2599811,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CP002901,,Superoxide dismutase,2599212,2599763,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_016041,fig|1085623.3.peg.2208,Superoxide dismutase [Fe] (EC 1.15.1.1),2511540,2512121,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_016041,,superoxide dismutase,2511540,2512121,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_007606,fig|300267.13.peg.4533,Superoxide dismutase [Mn] (EC 1.15.1.1),3570781,3571407,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_007606,,superoxide dismutase,3570781,3571401,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012560,,CU-Zn Superoxide dismutase,3156657,3157199,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012560,fig|322710.5.peg.2878,Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),3156657,3157199,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012491,,superoxide dismutase [Mn],3245944,3246558,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012491,fig|358681.3.peg.3045,Superoxide dismutase [Mn] (EC 1.15.1.1),3245944,3246558,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012491,,superoxide dismutase [Mn],1061928,1062536,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012491,fig|358681.3.peg.1014,Superoxide dismutase [Mn] (EC 1.15.1.1),1061928,1062536,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_008611,,superoxide dismutase [Fe] SodA,5565918,5566541,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_008611,fig|362242.7.peg.5782,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),5565918,5566541,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_011047,,Superoxide dismutase,37315,37929,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_011047,fig|37692.4.peg.481,Superoxide dismutase [Mn] (EC 1.15.1.1),564015,564629,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_011047,fig|37692.4.peg.32,Superoxide dismutase [Mn] (EC 1.15.1.1),37315,37929,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_011047,,Superoxide dismutase,564015,564629,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013454,,superoxide dismutase (Mn/Fe),283323,283946,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013454,fig|331104.5.peg.281,Superoxide dismutase [Mn] (EC 1.15.1.1),283323,283946,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012489,fig|379066.3.peg.2099,Superoxide dismutase [Mn] (EC 1.15.1.1),2391257,2391862,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012489,,manganese superoxide dismutase,2391257,2391862,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012489,,manganese superoxide dismutase,245004,245627,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012489,fig|379066.3.peg.203,Superoxide dismutase [Mn] (EC 1.15.1.1),244935,245627,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_010842,,Superoxide dismutase,32026,32598,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_010842,fig|355278.4.peg.31,Superoxide dismutase [Fe] (EC 1.15.1.1),32026,32598,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_008800,,superoxide dismutase,4530100,4530723,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_008800,fig|393305.7.peg.4404,Superoxide dismutase [Mn] (EC 1.15.1.1),4530094,4530723,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013892,fig|406818.4.peg.44,Superoxide dismutase [Mn] (EC 1.15.1.1),59449,60075,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013892,,"superoxide dismutase, manganese",59449,60075,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014006,fig|452662.3.peg.2600,Superoxide dismutase [Fe] (EC 1.15.1.1),2759249,2759863,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014006,,superoxide dismutase,2759249,2759863,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_011999,fig|458233.11.peg.1328,Superoxide dismutase [Mn] (EC 1.15.1.1),1304556,1305155,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_011999,,superoxide dismutase SodA,1304556,1305155,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014387,,superoxide dismutase SodA,602363,603016,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014387,fig|515622.3.peg.464,Superoxide dismutase [Mn] (EC 1.15.1.1),602363,602980,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GG700723,fig|525280.3.peg.690,Superoxide dismutase [Mn] (EC 1.15.1.1),729832,730443,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GG700723,,,729832,730443,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014614,fig|499177.3.peg.1938,Superoxide dismutase [Mn] (EC 1.15.1.1),2079238,2079849,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014614,,"superoxide dismutase, mn",2079238,2079849,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012526,,putative superoxide dismutase,949525,950148,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012526,fig|546414.3.peg.880,Superoxide dismutase [Mn] (EC 1.15.1.1),949525,950148,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_016632,,manganese superoxide dismutase,59033,59662,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_016632,fig|568817.3.peg.37,Superoxide dismutase [Mn] (EC 1.15.1.1),58994,59662,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013316,fig|645463.3.peg.1633,Superoxide dismutase [Mn] (EC 1.15.1.1),1802293,1802997,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013316,,putative superoxide dismutase [Mn],1802293,1802997,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,AP010969,,manganese-dependent superoxide dismutase,558233,558838,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,AP010969,fig|591365.3.peg.545,Superoxide dismutase [Mn] (EC 1.15.1.1),558233,558838,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014103,fig|592022.4.peg.4502,Superoxide dismutase [Mn] (EC 1.15.1.1),4350676,4351284,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014103,,superoxide dismutase (Mn),4350676,4351284,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CP001397,,superoxide dismutase,1186392,1187000,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CP001397,fig|592029.3.peg.1091,Superoxide dismutase [Mn] (EC 1.15.1.1),1186392,1187000,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_010544,,Superoxide dismutase,874968,875579,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_010544,fig|59748.8.peg.917,Superoxide dismutase [Mn] (EC 1.15.1.1),874968,875579,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013418,fig|600809.5.peg.345,Superoxide dismutase [Mn] (EC 1.15.1.1),373199,373813,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013418,,"superoxide dismutase, iron/manganese-dependent",373199,373813,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013799,,superoxide dismutase,1544517,1545152,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013799,fig|608538.3.peg.1702,Superoxide dismutase [Mn] (EC 1.15.1.1); Superoxide dismutase [Fe] (EC 1.15.1.1); Superoxide dismutase ChrC,1544517,1545152,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014659,fig|685727.3.peg.155,Superoxide dismutase [Mn] (EC 1.15.1.1),158170,158799,-,CDS,sodA2,,,,
sodA,NC,TRUE,1,,NC_014659,,superoxide dismutase SodA2,158170,158799,-,CDS,sodA2,,,,
sodA,NC,TRUE,1,,NC_014659,,superoxide dismutase SodA3,262642,263271,-,CDS,sodA3,,,,
sodA,NC,TRUE,1,,NC_014659,,superoxide dismutase SodA1,150087,150725,+,CDS,sodA1,,,,
sodA,NC,TRUE,1,,NC_014659,fig|685727.3.peg.3890,Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),4128212,4128922,-,CDS,sodA4,,,,
sodA,NC,TRUE,1,,NC_014659,fig|685727.3.peg.234,Superoxide dismutase [Mn] (EC 1.15.1.1),262642,263271,-,CDS,sodA3,,,,
sodA,NC,TRUE,1,,NC_014659,,superoxide dismutase SodA4,4128212,4128883,-,CDS,sodA4,,,,
sodA,NC,TRUE,1,,NC_014659,fig|685727.3.peg.146,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),150087,150725,+,CDS,sodA1,,,,
sodA,Unknown,TRUE,1,,FN543093,,Superoxide dismutase [Mn],165380,166000,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,FN543093,fig|693216.3.peg.151,Superoxide dismutase [Mn] (EC 1.15.1.1),165374,166000,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_015722,fig|696127.4.peg.515,Superoxide dismutase [Fe] (EC 1.15.1.1),419392,420015,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_015722,,superoxide dismutase,419392,420015,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013956,,SodA,115507,116139,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013956,fig|706191.3.peg.112,Superoxide dismutase [Mn] (EC 1.15.1.1),115522,116139,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CP001560,fig|630626.3.peg.89,Superoxide dismutase [Mn] (EC 1.15.1.1),90841,91461,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CP001560,,Mn dependent superoxide dismutase,90835,91461,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,FP476056,,Superoxide dismutase [Mn],1881571,1882179,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,FP476056,fig|63186.3.peg.1570,Superoxide dismutase [Mn] (EC 1.15.1.1),1881571,1882179,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014335,,Mn containing superoxide dismutase,5140884,5141510,+,CDS,sodA2,,,,
sodA,NC,TRUE,1,,NC_014335,fig|637380.6.peg.4628,Superoxide dismutase [Mn] (EC 1.15.1.1),4003912,4004547,-,CDS,sodA1,,,,
sodA,NC,TRUE,1,,NC_014335,,Mn containing superoxide dismutase,4003912,4004547,-,CDS,sodA1,,,,
sodA,NC,TRUE,1,,NC_014335,fig|637380.6.peg.5845,Superoxide dismutase [Mn] (EC 1.15.1.1),5140884,5141510,+,CDS,sodA2,,,,
sodA,NZ,TRUE,1,,NZ_GG694025,,,682460,683071,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GG694025,fig|638300.3.peg.586,Superoxide dismutase [Mn] (EC 1.15.1.1),682460,683071,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GG694017,,,120460,121068,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GG694017,fig|638301.3.peg.1108,Superoxide dismutase [Mn] (EC 1.15.1.1),120460,121068,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013971,,superoxide dismutase [Mn],3745569,3746195,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_013971,fig|716540.3.peg.3464,Superoxide dismutase [Mn] (EC 1.15.1.1),3745569,3746186,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,GG770409,fig|742159.3.peg.1298,Superoxide dismutase [Mn] (EC 1.15.1.1),5988455,5989069,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,GG770409,,superoxide dismutase,5988455,5989129,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014147,,superoxide dismutase A,646461,647078,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014147,fig|749219.3.peg.636,Superoxide dismutase [Mn] (EC 1.15.1.1),646461,647078,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014550,,superoxide dismutase,2166923,2167552,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014550,fig|861360.3.peg.2034,Superoxide dismutase [Mn] (EC 1.15.1.1),2166923,2167552,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014318,fig|749927.5.peg.8802,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),9314041,9314664,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014318,,superoxide dismutase,9314041,9314664,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014643,,superoxide dismutase,1018025,1018654,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014643,fig|762948.4.peg.938,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),1018025,1018654,+,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_AFII01000001,,"superoxide dismutase, Mn",526689,527333,+,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_AFII01000001,fig|767100.3.peg.585,Superoxide dismutase [Mn] (EC 1.15.1.1),526689,527333,+,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GL636062,fig|887898.3.peg.2610,Superoxide dismutase [Mn] (EC 1.15.1.1),1872681,1873313,+,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GL636062,,,1872681,1873313,+,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GL870929,fig|888741.3.peg.720,Superoxide dismutase [Mn] (EC 1.15.1.1),1127156,1127782,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GL870929,,,1127156,1127782,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GL732518,,,885985,886590,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_GL732518,fig|889201.3.peg.1846,Superoxide dismutase [Mn] (EC 1.15.1.1),885985,886590,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_AENN01000011,,"superoxide dismutase, Mn",19272,19874,-,CDS,sodA,,,,
sodA,NZ,TRUE,1,,NZ_AENN01000011,fig|908337.3.peg.626,Superoxide dismutase [Mn] (EC 1.15.1.1),19272,19874,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014960,fig|926569.3.peg.2164,Superoxide dismutase [Mn] (EC 1.15.1.1),2351193,2351801,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_014960,,manganese superoxide dismutase,2351193,2351801,-,CDS,sodA,,,,
sodB,Unknown,TRUE,1,,CP003989,fig|1255043.3.peg.1296,Superoxide dismutase [Fe] (EC 1.15.1.1),1230862,1231443,-,CDS,sodB [H],,,,
sodB,Unknown,TRUE,1,,CP003989,,Superoxide dismutase (Fe),1230862,1231443,-,CDS,sodB [H],,,,
sodB,Unknown,TRUE,1,,CP003191,fig|203275.8.peg.1745,Superoxide dismutase [Fe] (EC 1.15.1.1),2052676,2053260,-,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,CP003191,,superoxide dismutase (Fe),2052676,2053260,-,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,CP003539,,superoxide dismutase (Mn),1228061,1228669,-,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,CP003539,fig|1193729.4.peg.706,Superoxide dismutase [Fe] (EC 1.15.1.1),1228061,1228669,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_003911,,"superoxide dismutase, Fe",2480854,2481453,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_003911,fig|246200.7.peg.2373,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),2480854,2481489,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_015856,,Superoxide dismutase Fe,1425528,1426115,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_015856,fig|1005048.3.peg.1247,Superoxide dismutase [Fe] (EC 1.15.1.1),1425528,1426115,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_010528,fig|164546.7.peg.572,Superoxide dismutase [Fe] (EC 1.15.1.1),583701,584282,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_010528,,superoxide dismutase,583701,584282,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014033,fig|264731.4.peg.1681,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),2083536,2084120,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014033,,superoxide dismutase,2083536,2084120,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_008380,,putative superoxide dismutase,1403712,1404314,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_008380,fig|216596.11.peg.2526,Superoxide dismutase [Mn] (EC 1.15.1.1),1403712,1404314,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_007606,,superoxide dismutase,1715680,1716261,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_007606,fig|300267.13.peg.2264,Superoxide dismutase [Fe] (EC 1.15.1.1),1715680,1716261,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_011985,,superoxide dismutase protein,1139866,1140468,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_011985,fig|311403.8.peg.3574,Superoxide dismutase [Mn] (EC 1.15.1.1),1139866,1140468,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014034,fig|272942.6.peg.2352,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),2485482,2486084,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014034,,superoxide dismutase (Fe),2485482,2486084,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014623,,"superoxide dismutase, fe",2290686,2291270,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014623,fig|378806.8.peg.1900,Superoxide dismutase [Fe] (EC 1.15.1.1),2290686,2291270,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_009434,,superoxide dismutase,3370748,3371329,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_009434,fig|379731.5.peg.3144,Superoxide dismutase [Fe] (EC 1.15.1.1),3370748,3371329,+,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,FO082060,,Superoxide dismutase [Fe],3846503,3847084,-,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,FO082060,fig|271065.3.peg.3424,Superoxide dismutase [Fe] (EC 1.15.1.1),3846503,3847084,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_012560,fig|322710.5.peg.3554,Superoxide dismutase [Fe] (EC 1.15.1.1),3824430,3825011,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_012560,,Fe-Superoxide dismutase,3824430,3825011,+,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,CP000245,fig|365046.3.peg.2241,Superoxide dismutase [Fe] (EC 1.15.1.1),2313530,2314111,-,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,CP000245,,Candidate superoxide dismutase,2313530,2314111,-,CDS,sodB,,,,
sodB,NZ,TRUE,1,,NZ_DS990628,fig|391616.3.peg.4951,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),4538359,4538958,-,CDS,sodB,,,,
sodB,NZ,TRUE,1,,NZ_DS990628,,superoxide dismutase (Fe),4538359,4538958,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_008800,,superoxide dismutase,2356988,2357566,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_008800,fig|393305.7.peg.2322,Superoxide dismutase [Fe] (EC 1.15.1.1),2356988,2357566,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_013892,fig|406818.4.peg.2245,Superoxide dismutase [Fe] (EC 1.15.1.1),2466917,2467495,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_013892,,"superoxide dismutase, iron",2466917,2467495,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_011144,fig|450851.6.peg.1574,Superoxide dismutase [Fe] (EC 1.15.1.1),1238778,1239410,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_011144,,superoxide dismutase (fe),1238778,1239410,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_013508,fig|498217.4.peg.1549,Superoxide dismutase [Fe] (EC 1.15.1.1),1785807,1786385,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_013508,,superoxide dismutase,1785807,1786385,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_012559,fig|557598.3.peg.1576,Superoxide dismutase [Fe] (EC 1.15.1.1),1639771,1640361,-,CDS,sodB1,,,,
sodB,NC,TRUE,1,,NC_012559,,SodB1,1639771,1640361,-,CDS,sodB1,,,,
sodB,Unknown,TRUE,1,,CP001560,fig|630626.3.peg.2217,Superoxide dismutase [Fe] (EC 1.15.1.1),2347218,2347799,+,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,CP001560,,superoxide dismutase,2347218,2347799,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_012796,fig|573370.3.peg.3981,Superoxide dismutase [Fe] (EC 1.15.1.1),4776449,4777150,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_012796,,superoxide dismutase Fe,4776449,4777150,-,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,CP002177,fig|871585.3.peg.1832,Superoxide dismutase [Fe] (EC 1.15.1.1),1969797,1970423,+,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,CP002177,,superoxide dismutase,1969797,1970423,+,CDS,sodB,,,,
sodB,NZ,TRUE,1,,NZ_GL622188,fig|873533.3.peg.605,Superoxide dismutase [Fe] (EC 1.15.1.1),1304646,1305326,-,CDS,sodB,,,,
sodB,NZ,TRUE,1,,NZ_GL622188,,,1304646,1305347,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014323,fig|757424.7.peg.1178,Superoxide dismutase [Fe] (EC 1.15.1.1),1330712,1331290,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014323,,superoxide dismutase [Fe] protein,1330712,1331290,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014532,fig|768066.3.peg.1686,Superoxide dismutase [Fe] (EC 1.15.1.1),1821408,1821986,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_014532,,superoxide dismutase,1821408,1821986,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_016026,,superoxide dismutase (Mn),831891,832517,-,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_016026,fig|856793.5.peg.801,Superoxide dismutase [Fe] (EC 1.15.1.1),831891,832517,-,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,FO203503,,"SodB: superoxid dismutase, iron-type",782863,783096,+,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,FO203503,fig|651182.5.peg.795,Superoxide dismutase [Fe] (EC 1.15.1.1),782863,783096,+,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,GG770409,,superoxide dismutase,4468380,4468958,-,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,GG770409,fig|742159.3.peg.5181,Superoxide dismutase [Fe] (EC 1.15.1.1),4468380,4468958,-,CDS,sodB,,,,
sodB,NZ,TRUE,1,,NZ_GL476320,,superoxide dismutase (Fe),180061,180762,+,CDS,sodB,,,,
sodB,NZ,TRUE,1,,NZ_GL476320,fig|744980.3.peg.4631,Superoxide dismutase [Fe] (EC 1.15.1.1),180061,180762,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_002937,fig|882.5.peg.2182,Superoxide dismutase [Fe] (EC 1.15.1.1),2513815,2514531,+,CDS,sodB,,,,
sodB,NC,TRUE,1,,NC_002937,,"superoxide dismutase, Fe",2513941,2514531,+,CDS,sodB,,,,
sodB,Unknown,TRUE,1,,AP012320,,exodeoxyribonuclease 7 large subunit/superoxide dismutase,3407733,3409658,-,CDS,xseA/sodB,,,,
sodB,Unknown,TRUE,1,,AP012320,fig|983917.3.peg.3122,Superoxide dismutase [Fe] (EC 1.15.1.1),3407733,3409658,-,CDS,xseA/sodB,,,,
sodC,NC,TRUE,1,,NC_010530,fig|164546.7.peg.4427,Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),1000627,1001133,-,CDS,sodC,,,,
sodC,NC,TRUE,1,,NC_010530,,SUPEROXIDE DISMUTASE CU-ZN PRECURSOR PROTEIN,1000627,1001133,-,CDS,sodC,,,,
sodC,NC,TRUE,1,,NC_008380,fig|216596.11.peg.2725,Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),1590023,1590538,+,CDS,sodC,,,,
sodC,NC,TRUE,1,,NC_008380,,hypothetical protein,1590023,1590085,+,sig_peptide,sodC,,,,
sodC,NC,TRUE,1,,NC_008380,,putative superoxide dismutase,1590023,1590538,+,CDS,sodC,,,,
sodC,Unknown,TRUE,1,,BAGZ01000021,,superoxide dismutase,12602,13276,-,CDS,sodC,,,,
sodC,Unknown,TRUE,1,,BAGZ01000021,fig|1184607.3.peg.2843,Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),12602,13276,-,CDS,sodC,,,,
sodC,NC,TRUE,1,,NC_005861,fig|264201.15.peg.1806,Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),2102482,2103099,-,CDS,sodC,,,,
